Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
LF-CBO,300,29,71,46.486000,0.009102,0.122961,0.375926,2.011549
CBO,300,29,71,64.950000,0.009191,0.111394,0.271039,2.797993
PSO,300,29,71,79.042000,0.009236,0.113423,0.266356,3.971777
AOA,300,29,71,446.570667,0.006981,0.083782,-1.638238,12.236504
GWO,300,29,71,76.972000,0.008357,0.104577,0.202504,3.951881
LF-CBO,300,30,72,46.814000,0.008447,0.118159,0.454818,2.186086
CBO,300,30,72,72.238000,0.008192,0.098747,0.295447,2.629937
PSO,300,30,72,56.590000,0.008139,0.103726,0.248073,2.650632
AOA,300,30,72,308.291333,0.007486,0.083615,-1.685287,13.390201
GWO,300,30,72,86.992667,0.008260,0.104729,0.191956,4.449655
LF-CBO,500,1,43,72.342000,0.016251,0.201822,0.403499,2.035278
CBO,500,1,43,454.042000,0.012815,0.139413,-2.156936,16.067962
PSO,500,1,43,93.682000,0.015901,0.193001,0.337041,2.838371
AOA,500,1,43,716.232667,0.013035,0.125239,-2.371063,17.738306
GWO,500,1,43,155.435333,0.015354,0.180999,0.091442,4.770594
LF-CBO,500,2,44,66.870000,0.015317,0.175510,0.380976,2.144135
CBO,500,2,44,94.058000,0.015728,0.151702,0.337447,2.439127
PSO,500,2,44,96.820000,0.015528,0.154687,0.219392,3.552721
AOA,500,2,44,403.619333,0.016076,0.122538,-1.628708,15.147518
GWO,500,2,44,176.575333,0.015873,0.143767,-0.015335,6.845701
LF-CBO,500,3,45,51.130000,0.015699,0.151281,0.548324,1.844320
CBO,500,3,45,446.738000,0.016184,0.115768,-2.502645,18.167582
PSO,500,3,45,159.023333,0.015975,0.137437,-0.082495,6.543519
AOA,500,3,45,429.536667,0.016013,0.117691,-1.843996,15.931081
GWO,500,3,45,188.872667,0.015535,0.136488,-0.099535,7.732045
LF-CBO,500,4,46,56.499333,0.013883,0.157565,0.489813,1.898212
CBO,500,4,46,272.332667,0.012880,0.140885,-0.984675,10.626212
PSO,500,4,46,91.538000,0.014397,0.156821,0.272498,3.296641
AOA,500,4,46,496.115333,0.013258,0.129218,-1.790080,15.854027
GWO,500,4,46,176.232667,0.014404,0.142788,-0.070716,6.957381
LF-CBO,500,5,47,72.234000,0.014407,0.197826,0.434206,1.959445
CBO,500,5,47,118.810000,0.013929,0.158560,0.271873,2.509472
PSO,500,5,47,80.426000,0.013521,0.181051,0.313417,2.382591
AOA,500,5,47,695.154000,0.013882,0.127737,-2.639706,21.804779
GWO,500,5,47,186.338000,0.014508,0.170675,0.056797,6.204049
LF-CBO,500,6,48,84.726000,0.015314,0.215251,0.350061,2.185209
CBO,500,6,48,106.358000,0.014857,0.192070,0.161202,2.957428
PSO,500,6,48,98.760000,0.014535,0.185652,0.255974,2.924956
AOA,500,6,48,288.092000,0.014774,0.199451,-0.371031,8.672254
GWO,500,6,48,62.898000,0.014971,0.181394,0.554264,1.883880
LF-CBO,500,7,49,82.072000,0.013371,0.175445,0.330215,2.681732
CBO,500,7,49,78.438000,0.013327,0.159478,0.421401,2.508839
PSO,500,7,49,72.230000,0.013572,0.162135,0.328185,2.488760
AOA,500,7,49,79.626000,0.014494,0.170224,0.414657,2.492640
GWO,500,7,49,73.006000,0.014221,0.160087,0.517273,2.596354
LF-CBO,500,8,50,52.146000,0.014328,0.165907,0.562807,1.684349
CBO,500,8,50,441.757333,0.015624,0.118639,-2.253793,17.533481
PSO,500,8,50,448.098000,0.015593,0.120812,-2.328928,18.312253
AOA,500,8,50,514.426667,0.014934,0.122243,-2.283375,19.778116
GWO,500,8,50,153.518000,0.014837,0.154710,0.036004,5.624947
LF-CBO,500,9,51,89.074000,0.013991,0.197079,0.328600,2.615839
CBO,500,9,51,142.702000,0.014150,0.157302,0.139960,3.152573
PSO,500,9,51,108.982000,0.014410,0.170329,0.249088,3.694708
AOA,500,9,51,75.278000,0.014637,0.180547,0.492757,2.209590
GWO,500,9,51,66.194000,0.014475,0.174454,0.572263,2.115060
LF-CBO,500,10,52,90.002000,0.014440,0.212988,0.328737,2.449771
CBO,500,10,52,479.752000,0.011834,0.168525,-1.671077,15.450360
PSO,500,10,52,271.762000,0.013138,0.187038,-0.352238,8.357866
AOA,500,10,52,617.050000,0.012406,0.145802,-1.773427,15.557557
GWO,500,10,52,163.738000,0.013694,0.185854,0.195780,4.838200
LF-CBO,500,11,53,79.506000,0.014849,0.212087,0.414075,2.104439
CBO,500,11,53,409.192000,0.012919,0.171859,-1.202449,13.639466
PSO,500,11,53,75.222000,0.014325,0.193689,0.381876,2.298101
AOA,500,11,53,650.182000,0.012605,0.145900,-2.072998,17.372455
GWO,500,11,53,141.091333,0.014283,0.175689,0.242438,4.313940
LF-CBO,500,12,54,83.050000,0.013416,0.190765,0.399828,2.375124
CBO,500,12,54,113.128000,0.012929,0.163159,0.300140,2.280376
PSO,500,12,54,80.130000,0.013473,0.175461,0.355613,2.707261
AOA,500,12,54,81.562000,0.013539,0.187630,0.423084,2.312461
GWO,500,12,54,66.638000,0.013405,0.175597,0.532563,2.147492
LF-CBO,500,13,55,65.344000,0.013668,0.181877,0.481427,1.894369
CBO,500,13,55,189.592000,0.013140,0.165210,-0.150494,6.667487
PSO,500,13,55,74.630000,0.013588,0.178381,0.422124,2.319210
AOA,500,13,55,652.116667,0.012242,0.139983,-2.239908,18.731382
GWO,500,13,55,118.794000,0.013125,0.170346,0.214426,3.945485
LF-CBO,500,14,56,62.402000,0.012648,0.194430,0.549572,1.807657
CBO,500,14,56,375.478000,0.011931,0.144426,-1.690093,13.678157
PSO,500,14,56,484.296000,0.011715,0.134846,-2.385881,15.662716
AOA,500,14,56,601.068667,0.011957,0.131385,-2.170763,18.341414
GWO,500,14,56,175.827333,0.012474,0.169909,0.049501,5.749835
LF-CBO,500,15,57,56.372000,0.014900,0.157905,0.455030,2.005792
CBO,500,15,57,454.715333,0.012213,0.129073,-2.469460,18.192209
PSO,500,15,57,73.578000,0.015338,0.153549,0.337207,2.743555
AOA,500,15,57,615.842000,0.012554,0.126185,-2.151413,17.941488
GWO,500,15,57,123.480667,0.014787,0.144412,0.198787,4.588260
LF-CBO,500,16,58,69.908000,0.013866,0.209211,0.449631,1.789412
CBO,500,16,58,130.858000,0.013247,0.170137,0.217114,2.417856
PSO,500,16,58,99.318000,0.013533,0.178607,0.270613,2.993903
AOA,500,16,58,668.650000,0.011731,0.145412,-1.882384,14.759121
GWO,500,16,58,176.139333,0.013276,0.178679,0.056635,5.399748
LF-CBO,500,17,59,63.234000,0.014591,0.178407,0.469677,1.924481
CBO,500,17,59,377.658000,0.012868,0.141709,-1.850576,14.650146
