Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
PSO,800,14,56,839.506667,0.018643,0.210152,-2.655153,16.525145
LSCBO,800,15,57,119.254000,0.025245,0.239713,0.374134,2.839396
CBO,800,15,57,173.546000,0.025662,0.237291,0.084390,3.430728
PSO,800,15,57,140.914000,0.025264,0.243785,0.269512,3.334030
LSCBO,800,16,58,202.872000,0.020907,0.270242,0.203410,2.578076
CBO,800,16,58,237.370000,0.021363,0.271863,0.238835,2.740662
PSO,800,16,58,198.668000,0.021309,0.297212,0.151888,3.897409
LSCBO,800,17,59,236.534000,0.024583,0.265333,0.130797,4.094887
CBO,800,17,59,757.372667,0.019577,0.216991,-2.592345,18.890190
PSO,800,17,59,141.194000,0.023697,0.275015,0.319373,3.040522
LSCBO,800,18,60,107.576000,0.023321,0.279075,0.541958,1.977989
CBO,800,18,60,754.260667,0.025263,0.184252,-2.834478,20.191195
PSO,800,18,60,134.090000,0.022349,0.277105,0.313620,2.801026
LSCBO,800,19,61,162.226000,0.022206,0.288083,0.279160,3.177121
CBO,800,19,61,661.742667,0.023888,0.202011,-2.021494,17.643256
PSO,800,19,61,731.710000,0.024858,0.175683,-2.533283,15.742872
LSCBO,800,20,62,101.686000,0.024614,0.234927,0.530799,2.257581
CBO,800,20,62,330.321333,0.022291,0.221684,-0.537851,8.423127
PSO,800,20,62,170.803333,0.023578,0.232584,0.300099,3.852127
LSCBO,800,21,63,165.890000,0.020106,0.301723,0.173637,2.918582
CBO,800,21,63,732.426000,0.024779,0.193001,-2.649665,20.033936
PSO,800,21,63,143.366000,0.020393,0.296233,0.337968,2.898363
LSCBO,800,22,64,124.220000,0.023155,0.258445,0.374169,2.820569
CBO,800,22,64,178.594000,0.024204,0.260690,0.158474,3.061271
PSO,800,22,64,124.842000,0.023065,0.264614,0.459060,2.451868
LSCBO,800,23,65,161.642000,0.022573,0.308918,0.278499,3.089131
CBO,800,23,65,133.010000,0.023100,0.310645,0.340739,2.480400
PSO,800,23,65,129.870000,0.022332,0.309829,0.403620,2.362876
LSCBO,800,24,66,116.498000,0.024122,0.302346,0.511253,2.032405
CBO,800,24,66,744.175333,0.024946,0.193869,-2.514140,18.973106
PSO,800,24,66,649.219333,0.025050,0.213007,-1.924426,17.439915
LSCBO,800,25,67,126.730000,0.021923,0.254636,0.394023,2.876519
CBO,800,25,67,134.474000,0.021393,0.254124,0.387951,2.934441
PSO,800,25,67,133.142000,0.021371,0.255802,0.271003,3.069702
LSCBO,800,26,68,121.404000,0.023194,0.269560,0.526229,2.425693
CBO,800,26,68,332.320000,0.021273,0.266885,-0.318533,7.195019
PSO,800,26,68,184.712000,0.021749,0.281247,0.335547,3.664732
LSCBO,800,27,69,103.750000,0.021747,0.264130,0.569213,2.093964
CBO,800,27,69,120.686000,0.021895,0.261101,0.416985,2.575114
PSO,800,27,69,113.594000,0.021531,0.267370,0.349457,2.450065
LSCBO,800,28,70,145.476000,0.019385,0.230275,0.213789,2.518881
CBO,800,28,70,162.758000,0.019292,0.230678,0.229157,2.556783
PSO,800,28,70,102.826000,0.019884,0.242615,0.298828,2.367549
LSCBO,800,29,71,147.705333,0.021877,0.296839,0.336226,2.696027
CBO,800,29,71,957.156000,0.017502,0.253004,-2.599822,21.011728
PSO,800,29,71,130.570000,0.023417,0.303561,0.324767,2.565991
LSCBO,800,30,72,235.750000,0.021874,0.273580,0.234042,3.628424
CBO,800,30,72,305.570000,0.021524,0.271000,0.125256,3.929949
PSO,800,30,72,136.528000,0.021982,0.287618,0.241642,2.708454
LSCBO,1000,1,43,150.514000,0.032821,0.387356,0.462207,2.074027
CBO,1000,1,43,952.675333,0.024704,0.274630,-2.693987,19.595359
PSO,1000,1,43,993.867333,0.024743,0.267845,-2.804350,20.489521
LSCBO,1000,2,44,175.670000,0.031029,0.315867,0.210331,2.890473
CBO,1000,2,44,256.750000,0.032341,0.295743,0.098824,3.031220
PSO,1000,2,44,194.010000,0.030974,0.330146,0.216055,3.478348
LSCBO,1000,3,45,116.186000,0.031151,0.303390,0.510549,2.127789
CBO,1000,3,45,871.092667,0.031720,0.232913,-2.629186,20.160539
PSO,1000,3,45,791.520667,0.031833,0.240446,-2.276629,18.896931
LSCBO,1000,4,46,139.054000,0.028840,0.316768,0.402144,2.599024
CBO,1000,4,46,510.932667,0.025676,0.285613,-0.887156,10.113760
PSO,1000,4,46,154.360000,0.028471,0.315750,0.444334,2.781956
LSCBO,1000,5,47,144.974000,0.028930,0.377334,0.482750,1.927348
CBO,1000,5,47,281.660000,0.026839,0.313429,0.312891,2.241774
PSO,1000,5,47,153.426000,0.028046,0.360578,0.407469,2.499946
LSCBO,1000,6,48,202.506000,0.030457,0.387135,0.236344,3.029514
CBO,1000,6,48,232.902000,0.029964,0.387493,0.264428,3.261201
PSO,1000,6,48,179.666000,0.029424,0.402471,0.304787,2.521588
LSCBO,1000,7,49,189.450000,0.027535,0.324676,0.250854,3.313480
CBO,1000,7,49,177.512000,0.027380,0.328045,0.259903,3.035426
PSO,1000,7,49,184.034000,0.027251,0.326757,0.213896,3.389824
LSCBO,1000,8,50,131.396000,0.028167,0.345025,0.397539,2.222729
