Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
GWO,100,18,60,447.569552,0.002982,0.027465,0.256993,3.858476
AOA,100,19,61,391.510910,0.002856,0.022891,-0.496305,4.927961
GWO,100,19,61,501.779412,0.002504,0.030832,0.172519,3.744726
AOA,100,20,62,393.770439,0.002973,0.023011,-0.475541,6.822845
GWO,100,20,62,381.375128,0.003059,0.023474,0.238499,3.238902
AOA,100,21,63,419.220014,0.003041,0.024209,-0.622602,6.825019
GWO,100,21,63,499.760322,0.002688,0.030887,0.337192,3.143826
AOA,100,22,64,492.864868,0.002948,0.029835,-0.127686,6.202686
GWO,100,22,64,440.504084,0.002806,0.027137,0.334803,3.571425
AOA,100,23,65,614.340740,0.002855,0.038082,0.288599,2.915157
GWO,100,23,65,584.431521,0.002914,0.036323,0.404174,2.333498
AOA,100,24,66,450.440977,0.003201,0.024936,-0.799438,6.225973
GWO,100,24,66,503.520642,0.003287,0.030735,0.085491,4.641787
AOA,100,25,67,500.785766,0.002815,0.031172,0.393515,2.227634
GWO,100,25,67,481.711157,0.002772,0.029660,0.295319,3.712253
AOA,100,26,68,493.771398,0.002559,0.028598,-0.702593,6.958350
GWO,100,26,68,518.004538,0.002869,0.031903,0.248323,3.838950
AOA,100,27,69,450.044453,0.002592,0.027169,-0.165440,5.329066
GWO,100,27,69,461.065302,0.002811,0.028613,0.332858,2.523846
AOA,100,28,70,572.233812,0.002653,0.035386,0.304743,3.209460
GWO,100,28,70,499.330484,0.002765,0.030645,0.159048,4.315611
AOA,100,29,71,533.629606,0.002594,0.030251,-0.693400,6.302801
GWO,100,29,71,493.904544,0.003029,0.029934,0.028010,5.766425
AOA,100,30,72,453.758047,0.002445,0.026167,-0.691804,5.556011
GWO,100,30,72,501.571189,0.002609,0.030677,0.137227,4.896635
AOA,300,1,43,1432.911594,0.008039,0.080809,-1.778843,14.724581
GWO,300,1,43,1718.622443,0.009538,0.105788,0.195520,4.620066
AOA,300,2,44,1222.970642,0.009387,0.070156,-1.597916,14.650267
GWO,300,2,44,1324.349206,0.009304,0.081585,0.230202,4.616186
AOA,300,3,45,1237.638762,0.009289,0.069555,-1.717796,14.286954
GWO,300,3,45,1311.749780,0.009663,0.080368,0.083771,5.487972
