group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|weight_sensitivity|CBO|CBO|W4_balance_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W4_balance_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W4_balance_priority|default_4_to_1|NONE|N800,30,134.36359743,464.96522158,1009.71669181,0.00232706,0.99969061
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N100,30,17.86014767,57.74214702,126.70914025,0.04113631,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N800,30,134.35925931,464.96667855,1009.71566864,0.00232891,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W1_makespan_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74214702,126.70914025,0.04113631,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W1_makespan_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W1_makespan_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W1_makespan_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W1_makespan_priority|default_4_to_1|NONE|N800,30,134.35925931,464.96667855,1009.71566864,0.00232891,1.00000000
