Variant,TaskCount,Seed,Makespan,LoadBalanceRatio
base,500,61,248.6473,0.8032
noPhase1,500,61,292.8776,0.9488
noPhase2,500,61,248.6473,0.8032
noPhase3,500,61,248.6473,0.8032
pop50,500,61,197.2576,0.7069
LS-only,500,61,60.6280,0.1115
FULL,500,61,57.3867,0.0903
base,500,62,85.9362,0.4699
noPhase1,500,62,101.0149,0.5846
noPhase2,500,62,85.9362,0.4699
noPhase3,500,62,85.9362,0.4699
pop50,500,62,83.6794,0.4601
LS-only,500,62,37.8085,0.0463
FULL,500,62,38.2483,0.0402
base,500,63,326.1904,0.9812
noPhase1,500,63,464.5017,1.2315
noPhase2,500,63,326.1904,0.9812
noPhase3,500,63,350.6702,0.9807
pop50,500,63,381.4852,1.0569
LS-only,500,63,62.0272,0.1614
FULL,500,63,51.0847,0.0644
base,500,64,203.2995,0.6574
noPhase1,500,64,198.6015,0.7097
noPhase2,500,64,203.2995,0.6574
noPhase3,500,64,206.8014,0.6549
pop50,500,64,173.4434,0.6352
LS-only,500,64,58.5042,0.0647
FULL,500,64,55.9097,0.0512
base,500,65,240.8341,0.9040
noPhase1,500,65,225.1847,1.0230
noPhase2,500,65,240.8341,0.9040
noPhase3,500,65,240.8341,0.9040
pop50,500,65,243.4510,1.0071
LS-only,500,65,57.1840,0.1741
FULL,500,65,47.6389,0.0762
base,500,66,230.0154,0.8109
noPhase1,500,66,222.2819,0.8151
noPhase2,500,66,230.0154,0.8109
noPhase3,500,66,230.0154,0.8109
pop50,500,66,206.4393,0.8664
LS-only,500,66,45.2756,0.0856
FULL,500,66,43.2297,0.0598
base,500,67,190.1535,0.7717
noPhase1,500,67,204.1256,1.0289
noPhase2,500,67,190.1535,0.7820
noPhase3,500,67,200.1353,0.7832
pop50,500,67,218.3573,1.0600
LS-only,500,67,42.6874,0.0447
FULL,500,67,52.1666,0.1543
base,500,68,118.7977,0.5844
noPhase1,500,68,117.2016,0.6090
noPhase2,500,68,118.7977,0.5844
noPhase3,500,68,118.7977,0.5844
pop50,500,68,124.9081,0.5888
LS-only,500,68,41.3560,0.0343
FULL,500,68,40.5920,0.0284
base,500,69,111.6112,0.5605
noPhase1,500,69,104.7551,0.5822
noPhase2,500,69,111.6112,0.5605
noPhase3,500,69,111.6112,0.5605
pop50,500,69,107.1989,0.5491
LS-only,500,69,41.1538,0.0312
FULL,500,69,40.8710,0.0231
base,500,70,257.2305,0.8719
noPhase1,500,70,182.8615,0.7905
noPhase2,500,70,217.8540,0.9139
noPhase3,500,70,257.2305,0.8719
pop50,500,70,237.3677,0.8231
